"year","state","district","ID","INC","Open","Challenge","Winner","Dcont","Rcont","Ocont","Midterm.","PVI...100.to.100.","PresYrsIncumb","PresParty","PrevPresR.","PrevPresD.","PrevPresParty","TermsDemControl","TermsRepControl","Age.25.to.44","Age.65.and.over","Race.White","Race.Black.or.African.American","Race.American.Indian.and.Alaska.Native","Race.Asian","Race.Native.Hawaiian.and.Other.Pacific.Islander","Race.Some.other.race","Race.Two.or.more.races","Race.Hispanic.or.Latino","Unemployment.Rate","Delta.unemployment.Rate","Median.household.income","PercentDelta.median.household.income","Percent.below.poverty.level","INC_DW_NOM","SabatoNum","PVI2","thirdParty","midtermEffect","ideologyEffect","dContDiff","Repub","dPct2","rPct2","dWin","Polls","dSwing","PrevElectionD2","Prev2ElectionD2","Prev2ElectionD2Diff","OpenInc","midPres","PrevElectionD2Diff","PrevElectionD2DiffSwing","logDCont","logRCont","logDContDiff","ideologyEffect2","crossPressure","Pred"
"2018","AL","1","2018AL1","R",0,1,"0",12521.72,490481.94,0,"1",15,2,"R",63.5,34.1,"R",0,21,24.8,16.1,67.4,27.7,1,1.4,0,0.8,1.7,3,3.1,-2.7,47083,-0.058917231,13.5,0.544,5,16,"0","1",8.16,-477960.22,1,0,0,0,7.6,8.7,0,0.317543213229423,-0.182456786770577,"R","R",-0.5,-0.317543213229423,9.43529987345437,13.1031457765468,-3.66784590309243,8.16,0,2
"2018","AL","2","2018AL2","R",0,1,"0",147121.69,1220114.32,0,"1",16,2,"R",64.9,33,"R",0,5,26,15.6,64.7,30.9,0.4,1.1,0,1.1,1.9,3.5,3.4,-1.9,42035,0.014511716,15.2,0.367,5,17,"0","1",5.872,-1072992.63,1,0,0,0,7.6,8.7,0.453655167,0.325945349779466,-0.174054650220534,"R","R",-0.046344833,0.127709817220534,11.8990221435047,14.0144559368324,-2.1154337933277,5.872,0,127
"2018","AL","3","2018AL3","R",0,1,"0",98482.04,437565.26,0,"1",16,2,"R",65.3,32.3,"R",0,12,25.2,15.1,70.1,25.4,0.3,1.6,0,0.9,1.7,2.9,3.8,-1.8,46544,-0.10418099,11,0.338,5,17,"0","1",5.408,-339083.22,1,0,0,0,7.6,8.7,0.329124031,0.337754358353333,-0.162245641646667,"R","R",-0.170875969,-0.0086303273533328,11.4976396295939,12.9889834247408,-1.49134379514685,5.408,0,46
"2018","AL","4","2018AL4","R",0,1,"0",23579.71,670656.11,0,"1",30,2,"R",80.4,17.4,"R",0,12,24.5,17.1,88.1,7,0.8,0.6,0.1,1.6,1.8,6.2,3.3,-1.4,41110,-0.047749939,13.5,0.361,5,31,"0","1",10.83,-647076.4,1,0,0,0,7.6,8.7,0,0,-0.5,"R","R",-0.5,0,10.068184283901,13.4160132719292,-3.34782898802816,10.83,0,0
"2018","AL","5","2018AL5","R",0,1,"0",178542.39,50503.16,85320.77,"1",18,2,"R",64.7,31.3,"R",0,5,25.5,15,76.7,17.2,0.6,1.6,0.1,1.1,2.6,4.9,3.1,-2.1,51690,-0.02511124,11.6,0.602,5,18,"0","1",10.836,128039.23,1,0,0,0,7.6,8.7,0.331552251,0,-0.5,"R","R",-0.168447749,0.331552251,12.0925869318949,10.8298109881083,1.26277594378653,10.836,0,286
"2018","AL","6","2018AL6","R",0,1,"0",100676.57,502801.42,0,"1",26,2,"R",70.8,26.1,"R",0,14,27,14.6,79.6,14.7,0.2,1.7,0,2.2,1.5,4.9,2.7,-1.2,61413,-0.028560728,6.8,0.778,5,26,"0","1",20.228,-402124.85,1,0,0,0,7.6,8.7,0.252320814,0.237275298066728,-0.262724701933272,"R","R",-0.247679186,0.0150455159332722,11.5196783130819,13.1279525687336,-1.60827425565165,20.228,0,7
"2018","AK","1","2018AK1","R",0,1,"0",19650.12,399605.9,84430.41,"1",9,2,"R",52.8,37.6,"R",0,21,28.2,9.4,65.6,3.3,14.1,6,1.2,1.3,8.5,6.7,5.4,-0.1,76440,-0.051347462,6.7,0.279,5,8,"0","1",2.511,-379955.78,1,0,0,0,7.6,8.7,0.419300457495264,0.445620475189408,-0.054379524810592,"R","R",-0.0806995425047363,-0.0263200176941443,9.88588961312858,12.8982365928747,-3.01234697974614,2.511,0,788
"2018","AZ","1","2018AZ1","D",0,1,"0",460129.2,204495.09,0,"1",2,2,"R",47.7,46.6,"R",4,0,23.8,16.4,65,2.3,23.6,1.6,0.2,4,3.3,21.7,4.6,-1.8,50537,-0.059481172,14.8,-0.172,-3,2,"0","-1",-0.344,255634.11,-1,0,0,0,7.6,8.7,0.538686695852346,0.526113638,0.026113638,"D","R",0.0386866958523457,0.0125730578523457,13.0392647718943,12.2283041344778,0.810960637416484,0.344,-1,17870
"2018","AZ","2","2018AZ2","R",1,1,"0",900717.3,93992.95,0,"1",1,2,"R",44.7,49.6,"D",0,3,24,19.7,81.1,4.1,1.4,2.9,0.2,5.9,4.3,27.6,3.7,-1.2,49072,-0.031891914,12.7,0.342,-2,0,"0","1",0.342,806724.35,1,0,0,0,7.6,8.7,0.433324109,0.499632833917014,-0.000367166082986203,"Open","R",-0.066675891,-0.0663087249170138,13.7109478350962,11.4509856974787,2.25996213761753,0.342,1,15035
"2018","AZ","3","2018AZ3","D",0,1,"0",316859.9,30715.8,0,"1",-13,2,"R",32.5,62.4,"D",4,0,26.4,10.5,71.4,4.7,4,1.8,0.1,14.8,3.3,61.9,5.8,-1.3,44224,-0.06627623,16.4,-0.6,-5,-13,"0","-1",7.8,286144.1,-1,0,0,0,7.6,8.7,1,0.557517460589816,0.0575174605898155,"D","R",0.5,0.442482539410184,12.6662181552961,10.3325650151692,2.33365314012692,-7.8,0,19986
