"Date","dProb"
2018-06-14,0.62645
2018-06-15,0.566
2018-06-16,0.5684
2018-06-17,0.56845
2018-06-18,0.5682
2018-06-19,0.5188
2018-06-20,0.56895
2018-06-21,0.51585
2018-06-22,0.5165
2018-06-23,0.5167
2018-06-24,0.51615
2018-06-25,0.51615
2018-06-26,0.5162
2018-06-27,0.519
2018-06-28,0.49745
2018-06-29,0.54505
2018-06-30,0.5451
2018-07-01,0.54515
2018-07-02,0.54535
2018-07-03,0.54595
2018-07-04,0.5473
2018-07-05,0.5463
2018-07-06,0.5488
2018-07-07,0.54735
2018-07-08,0.54735
2018-07-09,0.54735
2018-07-10,0.548
2018-07-11,0.5505
2018-07-12,0.5503
2018-07-13,0.54925
2018-07-14,0.55735
2018-07-15,0.5559
2018-07-16,0.56335
2018-07-17,0.56395
2018-07-18,0.5662
2018-07-19,0.56535
2018-07-20,0.56535
2018-07-21,0.56075
2018-07-22,0.56135
2018-07-23,0.56135
2018-07-24,0.60535
2018-07-25,0.60525
2018-07-26,0.6065
2018-07-27,0.67
2018-07-28,0.6682
2018-07-29,0.66975
2018-07-30,0.66565
2018-07-31,0.6647
2018-08-01,0.66235
2018-08-02,0.6602
2018-08-03,0.66045
2018-08-04,0.66115
2018-08-05,0.6612
2018-08-06,0.6612
2018-08-07,0.6612
2018-08-08,0.66045
2018-08-09,0.65995
2018-08-10,0.6618
2018-08-11,0.66835
2018-08-12,0.66835
2018-08-13,0.6684
2018-08-14,0.6527
2018-08-15,0.6532
2018-08-16,NA
2018-08-17,NA
2018-08-18,NA
2018-08-19,NA
2018-08-20,NA
2018-08-21,NA
2018-08-22,NA
2018-08-23,NA
2018-08-24,NA
2018-08-25,NA
2018-08-26,NA
2018-08-27,NA
2018-08-28,NA
2018-08-29,NA
2018-08-30,NA
2018-08-31,NA
2018-09-01,NA
2018-09-02,NA
2018-09-03,NA
2018-09-04,NA
2018-09-05,NA
2018-09-06,NA
2018-09-07,NA
2018-09-08,NA
2018-09-09,NA
2018-09-10,NA
2018-09-11,NA
2018-09-12,NA
2018-09-13,NA
2018-09-14,NA
2018-09-15,NA
2018-09-16,NA
2018-09-17,NA
2018-09-18,NA
2018-09-19,NA
2018-09-20,NA
2018-09-21,NA
2018-09-22,NA
2018-09-23,NA
2018-09-24,NA
2018-09-25,NA
2018-09-26,NA
2018-09-27,NA
2018-09-28,NA
2018-09-29,NA
2018-09-30,NA
2018-10-01,NA
2018-10-02,NA
2018-10-03,NA
2018-10-04,NA
2018-10-05,NA
2018-10-06,NA
2018-10-07,NA
2018-10-08,NA
2018-10-09,NA
2018-10-10,NA
2018-10-11,NA
2018-10-12,NA
2018-10-13,NA
2018-10-14,NA
2018-10-15,NA
2018-10-16,NA
2018-10-17,NA
2018-10-18,NA
2018-10-19,NA
2018-10-20,NA
2018-10-21,NA
2018-10-22,NA
2018-10-23,NA
2018-10-24,NA
2018-10-25,NA
2018-10-26,NA
2018-10-27,NA
2018-10-28,NA
2018-10-29,NA
2018-10-30,NA
2018-10-31,NA
2018-11-01,NA
2018-11-02,NA
2018-11-03,NA
2018-11-04,NA
2018-11-05,NA
2018-11-06,NA
