"sim","dWin","rWin","demUnchallenged"
1,214,0,37
2,193,0,37
3,188,0,37
4,200,0,37
5,181,0,37
6,221,0,37
7,176,0,37
8,210,0,37
9,163,0,37
10,179,0,37
11,172,0,37
12,192,0,37
13,177,0,37
14,160,0,37
15,198,0,37
16,177,0,37
17,195,0,37
18,203,0,37
19,170,0,37
20,146,0,37
21,189,0,37
22,190,0,37
23,177,0,37
24,213,0,37
25,180,0,37
26,173,0,37
27,200,0,37
28,228,0,37
29,174,0,37
30,198,0,37
31,207,0,37
32,184,0,37
33,188,0,37
34,168,0,37
35,231,0,37
36,181,0,37
37,179,0,37
38,202,0,37
39,183,0,37
40,199,0,37
41,176,0,37
42,160,0,37
43,194,0,37
44,199,0,37
45,248,0,37
46,176,0,37
47,208,0,37
48,167,0,37
49,165,0,37
50,204,0,37
51,228,0,37
52,160,0,37
53,192,0,37
54,191,0,37
55,241,0,37
56,195,0,37
57,159,0,37
58,197,0,37
59,223,0,37
60,197,0,37
61,200,0,37
62,157,0,37
63,221,0,37
64,165,0,37
65,186,0,37
66,165,0,37
67,185,0,37
68,172,0,37
69,190,0,37
70,172,0,37
71,193,0,37
72,189,0,37
73,181,0,37
74,169,0,37
75,183,0,37
76,161,0,37
77,217,0,37
78,170,0,37
79,198,0,37
80,219,0,37
81,196,0,37
82,189,0,37
83,191,0,37
84,225,0,37
85,168,0,37
86,190,0,37
87,180,0,37
88,173,0,37
89,194,0,37
90,186,0,37
91,188,0,37
92,191,0,37
93,169,0,37
94,234,0,37
95,223,0,37
96,176,0,37
97,179,0,37
98,228,0,37
99,192,0,37
100,188,0,37
101,189,0,37
102,191,0,37
103,216,0,37
104,206,0,37
105,212,0,37
106,166,0,37
107,172,0,37
108,222,0,37
109,183,0,37
110,211,0,37
111,220,0,37
112,209,0,37
113,194,0,37
114,166,0,37
115,168,0,37
116,203,0,37
117,209,0,37
118,191,0,37
119,195,0,37
120,193,0,37
121,187,0,37
122,149,0,37
123,219,0,37
124,219,0,37
125,214,0,37
126,170,0,37
127,166,0,37
128,169,0,37
129,172,0,37
130,178,0,37
131,195,0,37
132,194,0,37
133,187,0,37
134,167,0,37
135,200,0,37
136,185,0,37
137,186,0,37
138,215,0,37
139,196,0,37
140,198,0,37
141,201,0,37
142,202,0,37
143,196,0,37
144,138,0,37
145,167,0,37
146,209,0,37
147,220,0,37
148,200,0,37
149,202,0,37
150,166,0,37
151,197,0,37
152,162,0,37
153,244,0,37
154,216,0,37
155,219,0,37
156,171,0,37
157,180,0,37
158,225,0,37
159,202,0,37
160,190,0,37
161,210,0,37
162,177,0,37
163,189,0,37
164,158,0,37
165,182,0,37
166,214,0,37
167,204,0,37
168,196,0,37
169,170,0,37
170,170,0,37
171,175,0,37
172,194,0,37
173,186,0,37
174,161,0,37
175,194,0,37
176,158,0,37
177,207,0,37
178,179,0,37
179,175,0,37
180,190,0,37
181,169,0,37
182,206,0,37
183,168,0,37
184,164,0,37
185,141,0,37
186,212,0,37
187,200,0,37
188,185,0,37
189,224,0,37
190,193,0,37
191,180,0,37
192,190,0,37
193,202,0,37
194,217,0,37
195,166,0,37
196,219,0,37
197,193,0,37
198,165,0,37
199,196,0,37
200,159,0,37
201,166,0,37
202,177,0,37
203,172,0,37
204,175,0,37
205,231,0,37
206,207,0,37
207,167,0,37
208,234,0,37
209,265,0,37
210,171,0,37
211,209,0,37
212,177,0,37
213,189,0,37
214,170,0,37
215,164,0,37
216,172,0,37
217,189,0,37
218,193,0,37
219,177,0,37
220,185,0,37
221,171,0,37
222,164,0,37
223,193,0,37
224,154,0,37
225,170,0,37
226,189,0,37
227,179,0,37
228,166,0,37
229,176,0,37
230,214,0,37
231,177,0,37
232,192,0,37
233,167,0,37
234,184,0,37
235,197,0,37
236,166,0,37
237,203,0,37
238,159,0,37
239,168,0,37
240,178,0,37
241,220,0,37
242,175,0,37
243,236,0,37
244,191,0,37
245,207,0,37
246,229,0,37
247,187,0,37
248,235,0,37
249,184,0,37
250,211,0,37
251,242,0,37
252,186,0,37
253,194,0,37
254,192,0,37
255,195,0,37
256,165,0,37
257,182,0,37
258,218,0,37
259,231,0,37
260,175,0,37
261,198,0,37
262,189,0,37
263,183,0,37
264,156,0,37
265,180,0,37
266,187,0,37
267,182,0,37
268,192,0,37
269,200,0,37
270,210,0,37
271,198,0,37
272,229,0,37
273,178,0,37
274,209,0,37
275,216,0,37
276,219,0,37
277,224,0,37
278,169,0,37
279,189,0,37
280,205,0,37
281,193,0,37
282,200,0,37
283,172,0,37
284,173,0,37
285,189,0,37
286,193,0,37
287,165,0,37
288,211,0,37
289,193,0,37
290,191,0,37
291,199,0,37
292,206,0,37
293,161,0,37
294,180,0,37
295,173,0,37
296,216,0,37
297,167,0,37
298,165,0,37
299,163,0,37
300,213,0,37
301,236,0,37
302,205,0,37
303,190,0,37
304,209,0,37
305,201,0,37
306,152,0,37
307,174,0,37
308,167,0,37
309,210,0,37
310,186,0,37
311,158,0,37
312,197,0,37
313,204,0,37
314,172,0,37
315,164,0,37
316,215,0,37
317,236,0,37
318,242,0,37
319,214,0,37
320,187,0,37
321,170,0,37
322,193,0,37
323,179,0,37
324,177,0,37
325,173,0,37
326,172,0,37
327,197,0,37
328,177,0,37
329,186,0,37
330,198,0,37
331,198,0,37
332,216,0,37
333,202,0,37
334,185,0,37
335,174,0,37
336,203,0,37
337,222,0,37
338,207,0,37
339,193,0,37
340,212,0,37
341,172,0,37
342,176,0,37
343,197,0,37
344,199,0,37
345,201,0,37
346,228,0,37
347,157,0,37
348,183,0,37
349,182,0,37
350,169,0,37
351,235,0,37
352,184,0,37
353,217,0,37
354,212,0,37
355,166,0,37
356,171,0,37
357,171,0,37
358,178,0,37
359,168,0,37
360,184,0,37
361,197,0,37
362,205,0,37
363,163,0,37
364,182,0,37
365,180,0,37
366,206,0,37
367,171,0,37
368,161,0,37
369,165,0,37
370,200,0,37
371,182,0,37
372,206,0,37
373,203,0,37
374,214,0,37
375,230,0,37
376,219,0,37
377,219,0,37
378,176,0,37
379,175,0,37
380,157,0,37
381,168,0,37
382,167,0,37
383,209,0,37
384,207,0,37
385,177,0,37
386,164,0,37
387,191,0,37
388,197,0,37
389,189,0,37
390,200,0,37
391,208,0,37
392,205,0,37
393,173,0,37
394,188,0,37
395,235,0,37
396,179,0,37
397,189,0,37
398,195,0,37
399,184,0,37
400,173,0,37
401,197,0,37
402,176,0,37
403,197,0,37
404,167,0,37
405,194,0,37
406,181,0,37
407,205,0,37
408,224,0,37
409,161,0,37
410,191,0,37
411,213,0,37
412,192,0,37
413,191,0,37
414,211,0,37
415,176,0,37
416,193,0,37
417,207,0,37
418,168,0,37
419,176,0,37
420,187,0,37
421,176,0,37
422,220,0,37
423,166,0,37
424,167,0,37
425,247,0,37
426,211,0,37
427,221,0,37
428,187,0,37
429,210,0,37
430,167,0,37
431,181,0,37
432,197,0,37
433,181,0,37
434,175,0,37
435,162,0,37
436,212,0,37
437,184,0,37
438,167,0,37
439,169,0,37
440,195,0,37
441,212,0,37
442,174,0,37
443,224,0,37
444,183,0,37
445,175,0,37
446,151,0,37
447,201,0,37
448,161,0,37
449,207,0,37
450,210,0,37
451,174,0,37
452,170,0,37
