"year","state","district","otherPct","id","INC","winner","open","challenged","demExpenditures","repExpenditures","otherExpenditures","midterm","cookPVI","presParty","presINCsameParty","prevPresR","prevPresD","prevPresINC","yrsINCpartyControl","termsDemControl","termsRepControl","age25to44","age65andover","raceWhite","raceBlackOrAfricanAmerican","raceAmericanIndianAndAlaskaNative","raceAsian","raceNativeHawaiianAndOtherPacificIslander","RaceSomeOtherRace","raceTwoOrMoreRaces","raceHispanicOrLatino","unemploymentRate","deltaUnemploymentRate","medianHouseholdIncome","percentDeltaMedianHouseholdIncome","percentBelowPovertyLevel","INCdwNom","sabato","sabatoNum","weightedPVI","incWin","thirdParty","midtermEffect","ideologyEffect","incExpenditures","nincExpenditures","incExpDiff","dExpDiff","logIncExp","PVIeffect","dPct2","rPct2","dWin","logNincExp","incPct2","sabatoScore","polls","dSwing","prevElectionDem","Prev2ElectionDem","Prev2ElectionDemDiff","OpenInc","midPres","prevElectionDemDiff","prevElectionDemDiffSwing","logDemExp","logRepExp","logDemContDiff","ideologyEffectDem","crossPressure"
"2006","AL","1",0,"2006AL1","R","R",0,1,13482,875369.93,0,"1",15,"R","1",64,35,64,14,0,14,39,13,68,28.6,1,1,0,0.4,1,1.3,7.306785243,-1.006785243,34544,0.144916628,17.1,0.367,"R",5,14,"1","0","1",5.505,875369.93,13482,4.17321808387698,-861887.93,13.6824029955111,15,0.318440204207249,0.681559795792751,"0",9.50918491163407,0.681559795792751,5,7.9,10.5,0.368377090447994,0.384416516129906,-0.115583483870094,"R","R",-0.131622909552006,-0.0160394256819124,9.50918491163407,13.6824029955111,-4.17321808387698,5.505,0
"2006","AL","2",0,"2006AL2","R","R",0,1,6256,330379.74,0,"1",20,"R","1",67,33,67,14,0,14,40.7,13,69.3,28,0.4,0.7,0,0.5,1.1,1.5,8.701724337,-1.601724337,34257,0.080976151,15.7,0.414,"R",5,19,"1","0","1",8.28,330379.74,6256,3.96654490995329,-324123.74,12.7080010259517,20,0.304611976369495,0.695388023630505,"0",8.74145611599836,0.695388023630505,5,7.9,10.5,0.284928608263491,0.30041466364369,-0.19958533635631,"R","R",-0.215071391736509,-0.015486055380199,8.74145611599836,12.7080010259517,-3.96654490995329,8.28,0
"2006","AL","3",0.020662107,"2006AL3","R","R",0,1,7674,1046769.68,4951,"1",10,"R","1",58,41,58,5,0,5,39.4,12.9,72.6,25.3,0.3,0.5,0,0.5,0.8,1.3,6.587042571,2.612957429,31098,0.125409994,17.9,0.338,"R",5,9,"1","1","1",3.38,1046769.68,7674,4.91549686761966,-1039095.68,13.8612204400751,10,0.392785633064715,0.607214366935285,"0",8.9457235724554,0.607214366935285,5,7.9,10.5,0.387704507601676,0.489306520263658,-0.0106934797363419,"R","R",-0.112295492398324,-0.101602012661982,8.9457235724554,13.8612204400751,-4.91549686761966,3.38,0
"2006","AL","4",0,"2006AL4","R","R",0,1,0,622255.47,0,"1",22,"R","1",71,28,71,5,0,5,40.6,14.7,90.3,6.3,0.7,0.2,0,1.4,1.1,3,5.843867289,0.556132711,30783,0.127992723,15.4,0.36,"R",5,21,"1","0","1",7.92,622255.47,0,13.3411076179259,-622255.47,13.3411076179259,22,0.297387157809544,0.702612842190456,"0",0,0.702612842190456,5,7.9,10.5,0.251687628401959,0,-0.5,"R","R",-0.248312371598041,0.251687628401959,0,13.3411076179259,-13.3411076179259,7.92,0
"2006","AL","5",0,"2006AL5","D","D",0,0,589474.44,0,0,"1",-33,"R","-1",60,39,39,13,13,0,41.1,12.3,79.9,16.2,0.7,1,0,0.7,1.5,2,5.867888124,-0.067888124,38563,0.146176387,12.2,-0.132,"D",-5,-19,"1","0","-1",4.356,589474.44,0,13.2869883356659,589474.44,13.2869883356659,33,1,0,"1",0,1,5,7.9,10.5,0.730522926570588,0.747844500829582,0.247844500829582,"D","R",0.230522926570588,-0.0173215742589935,13.2869883356659,0,13.2869883356659,-4.356,0
"2006","AL","6",0,"2006AL6","R","R",0,0,0,1893921.6,550,"1",49,"R","1",78,22,78,7,0,7,43.5,12.3,82.1,14.9,0.3,1.2,0,0.7,0.8,1.8,3.925931513,0.074068487,45680,0.190499124,8.8,0.387,"R",5,42,"1","0","1",18.963,1893921.6,0,14.4541606860008,-1893921.6,14.4541606860008,49,0,1,"0",0,1,5,7.9,10.5,0,0,-0.5,"R","R",-0.5,0,0,14.4541606860008,-14.4541606860008,18.963,0
"2006","AL","7",0,"2006AL7","D","D",0,0,614523.49,0,0,"1",-34,"R","-1",35,64,64,13,13,0,38,13.3,28.7,70,0.2,0.2,0,0.3,0.6,1,11.35140097,-0.951400968,24297,0.164670535,27.9,-0.27,"D",-5,-28,"1","0","-1",9.18,614523.49,0,13.3286040607336,614523.49,13.3286040607336,34,1,0,"1",0,1,5,7.9,10.5,0.750359002889633,1,0.5,"D","R",0.250359002889633,-0.249640997110367,13.3286040607336,0,13.3286040607336,-9.18,0
"2006","AK","1",0.031881581,"2006AK1","R","R",0,1,193577.89,1959811.4,0,"1",18,"R","1",61,36,61,14,0,14,43.1,5.7,69.3,3.5,15.6,4,0.5,1.6,5.4,4.1,13.79808693,-4.398086933,51571,0.151674391,9.4,0.278,"R",5,15,"1","1","1",5.004,1959811.4,193577.89,2.31491890371688,-1766233.51,14.4883593123401,18,0.414253691168554,0.585746308831446,"0",12.1734404086232,0.585746308831446,5,7.9,10.5,0.239302151357273,0.188273170396159,-0.311726829603841,"R","R",-0.260697848642727,0.0510289809611146,12.1734404086232,14.4883593123401,-2.31491890371688,5.004,0
"2006","AZ","1",0.048016303,"2006AZ1","R","R",0,1,1728892.28,2246796.51,30630.08,"1",8,"R","1",54,46,54,6,0,6,43,8.2,76.7,3.9,2,3.1,0.2,11,3.1,22.7,4.44415011,0.55584989,45514,-0.15812717,11.3,0.265,"R Toss-up",1,6,"1","1","1",2.12,2246796.51,1728892.28,0.262024392176134,-517904.23,14.625016431397,8,0.456377323926993,0.543622676073007,"0",14.3629920392208,0.543622676073007,1,7.9,10.5,0.382255061325718,0.48117950228643,-0.0188204977135698,"R","R",-0.117744938674282,-0.0989244409607118,14.3629920392208,14.625016431397,-0.262024392176134,2.12,0
"2006","AZ","2",0.024891568,"2006AZ2","R","R",0,1,37234.2,474711.21,0,"1",10,"R","1",61,38,61,2,0,2,41.1,9.6,55.8,5.1,4.4,1,0.1,29.9,3.7,62.5,10.90336581,-6.103365811,29048,0.705900578,26.1,0.749,"R",5,10,"1","1","1",7.49,474711.21,37234.2,2.54545419629616,-437477.01,13.0704640257169,10,0.39885508915982,0.60114491084018,"0",10.5250098294208,0.60114491084018,5,7.9,10.5,0.3939104984555,0.378874337711869,-0.121125662288131,"R","R",-0.1060895015445,0.0150361607436317,10.5250098294208,13.0704640257169,-2.54545419629616,7.49,0
