"year","state","district","ID","INC","Open","Challenge","Winner","Dcont","Rcont","Ocont","Midterm.","PVI...100.to.100.","PresYrsIncumb","PresParty","PrevPresR.","PrevPresD.","PrevPresParty","TermsDemControl","TermsRepControl","Age.25.to.44","Age.65.and.over","Race.White","Race.Black.or.African.American","Race.American.Indian.and.Alaska.Native","Race.Asian","Race.Native.Hawaiian.and.Other.Pacific.Islander","Race.Some.other.race","Race.Two.or.more.races","Race.Hispanic.or.Latino","Unemployment.Rate","Delta.unemployment.Rate","Median.household.income","PercentDelta.median.household.income","Percent.below.poverty.level","INC_DW_NOM","SabatoNum","PVI2","thirdParty","midtermEffect","ideologyEffect","dContDiff","Repub","dPct2","rPct2","dWin","Polls","dSwing","PrevElectionD2","Prev2ElectionD2","Prev2ElectionD2Diff","OpenInc","midPres","PrevElectionD2Diff","PrevElectionD2DiffSwing","logDCont","logRCont","logDContDiff","ideologyEffect2","crossPressure"
"2016","AL","2","2016AL2","R",0,1,"R",0,2089935.83,0,"0",16,8,"D",62.9,36.4,"R",0,3,25.9,15.1,65.1,30.6,0.4,1.1,0,0.9,1.8,3.5,5.3,-0.3,42645,0.006894126,15,0.365,5,16,"0","0",5.84,-2089935.83,1,0.453655166808891,0.546344833191109,0,-1.1,4.6,0.325945349779466,0.36340563224288,-0.13659436775712,"R","On-cycle",-0.174054650220534,-0.0374602824634144,0,14.5526443986038,-14.5526443986038,5.84,0
"2016","AL","3","2016AL3","R",0,1,"R",7348,1138438.08,0,"0",16,8,"D",62.3,36.8,"R",0,10,25.3,14.5,70.3,25.3,0.3,1.4,0,0.9,1.7,2.9,5.6,-1.3,41695,-0.021945077,15.2,0.338,5,16,"0","0",5.408,-1131090.08,1,0.329124031362231,0.670875968637769,0,-1.1,4.6,0.337754358353333,0.358903187714254,-0.141096812285746,"R","On-cycle",-0.162245641646667,-0.0211488293609215,8.90231952852887,13.9451686540512,-5.04284912552233,5.408,0
"2016","AL","5","2016AL5","R",0,1,"R",61251.11,119723.76,0,"0",18,8,"D",63.9,34.9,"R",0,3,25.6,14.5,76.9,17.2,0.6,1.6,0.1,1.1,2.6,4.9,5.2,-1.1,50392,-0.003710906,11.6,0.598,5,18,"0","0",10.764,-58472.65,1,0.331552250887821,0.668447749112179,0,-1.1,4.6,0,0.349783644738966,-0.150216355261034,"R","On-cycle",-0.5,-0.349783644738966,11.0227535767932,11.6929507206149,-0.670197143821728,10.764,0
"2016","AL","6","2016AL6","R",0,1,"R",197378.52,769978.37,0,"0",26,8,"D",74.3,24.7,"R",0,12,27.2,14.3,79.8,14.6,0.3,1.8,0,2.3,1.2,5,3.9,-0.9,59659,-0.023366131,8.1,0.778,5,26,"0","0",20.228,-572599.85,1,0.25232081392209,0.74767918607791,0,-1.1,4.6,0.237275298066728,0.287020086206785,-0.212979913793215,"R","On-cycle",-0.262724701933272,-0.0497447881400573,12.1928836518657,13.5541190012632,-1.36123534939745,20.228,0
"2016","AK","1","2016AK1","R",0,1,"R",1111745.09,7366277.69,1561381,"0",9,8,"D",55.3,41.2,"R",0,19,28.1,9,66,3.4,13.8,5.9,1.2,1.3,8.4,6.5,5.5,-0.5,72515,-0.024201889,7,0.278,2,9,"1","0",2.502,-6254532.6,1,0.419300457709237,0.580699542290763,0,-1.1,4.6,0.445620475189408,0.309171845678431,-0.190828154321569,"R","On-cycle",-0.054379524810592,0.136448629510977,13.921442391389,15.8124232099171,-1.89098081852809,2.502,0
"2016","AZ","1","2016AZ1","D",1,1,"D",2188589.31,3958834.93,30000,"0",2,8,"D",50.4,47.9,"R",2,0,23.9,15.7,64.9,2.4,23.5,1.7,0.1,4.3,3.1,21.3,6.4,-0.5,47531,-0.006080242,15.5,-0.161,-2,2,"1","0",-0.322,-1770245.62,-1,0.538686695753024,0.461313304246976,1,-1.1,4.6,0.526113638,0.519418872475509,0.0194188724755093,"Open","On-cycle",0.026113638,0.00669476552449066,14.5987682004688,15.1914605829461,-0.592692382477322,0.322,-1
"2016","AZ","2","2016AZ2","R",0,1,"R",1811598.49,8004418.35,0,"0",1,8,"D",49.9,48.4,"R",0,1,23.9,19.1,81.1,4.1,1.2,2.9,0.2,6.2,4.2,27.2,4.9,-0.5,47507,-0.010040626,11.3,0.337,3,2,"0","0",0.337,-6192819.86,1,0.433324108981524,0.566675891018476,0,-1.1,4.6,0.499632833917014,0.504198862357938,0.0041988623579382,"R","On-cycle",-0.000367166082986203,-0.00456602844092441,14.4097207091451,15.895504365867,-1.48578365672198,0.337,0
"2016","AZ","4","2016AZ4","R",0,1,"R",35258.96,824141.49,0,"0",21,8,"D",67.2,31,"R",0,2,21,24.6,87.8,1.8,2,1.1,0.2,4.2,2.8,18.5,5.1,-0.8,44345,-0.001217725,11.2,0.608,5,21,"0","0",12.768,-788882.53,1,0.284821580872105,0.715178419127895,0,-1.1,4.6,0.269341059385288,0.297999233032202,-0.202000766967798,"R","On-cycle",-0.230658940614712,-0.0286581736469136,10.4705033215213,13.6220987186991,-3.15159539717786,12.768,0
"2016","AZ","5","2016AZ5","R",1,1,"R",18649.88,5850156.02,0,"0",15,8,"D",63.8,34.6,"R",0,3,26,15.6,85.2,2.9,1.2,4.7,0.2,2.8,3,17.5,3.9,-1.1,66620,-0.02661363,6.9,0.673,5,16,"0","0",10.095,-5831506.14,1,0.368597749845127,0.631402250154873,0,-1.1,4.6,0.304218697,0.328093928,-0.171906072,"Open","On-cycle",-0.195781303,-0.023875231,9.83364860894538,15.5819790598735,-5.74833045092809,10.095,0
"2016","AZ","6","2016AZ6","R",0,1,"R",6623.91,806820.62,0,"0",9,8,"D",59.5,38.8,"R",0,11,26.4,16.3,85.5,2.8,1.6,4.5,0.1,2.8,2.7,15.9,4.5,-0.9,62482,-0.005297526,8.9,0.632,5,10,"0","0",5.688,-800196.71,1,0.383772762863101,0.616227237136899,0,-1.1,4.6,0.35138355,0.352111965362995,-0.147888034637005,"R","On-cycle",-0.14861645,-0.000728415362995449,8.79859206585649,13.6008578819268,-4.80226581607027,5.688,0
